"System","Unit Type","Unit Name","Unit Symbol","Prefix Scale","Prefix Exponents To Include","Base Unit System","Base Unit","Coefficient","Offset","Sort Index"
"SI","Electrical Current","ampere","A","SI","All","SI","ampere","1.0","0","0"
"SI","Electrical Potential","volt","V","SI","All","SI","volt","1.0","0","0"
"SI","Energy","joule","J","SI","All","SI","joule","1.0","0","0"
"SI","Energy","calorie","c","SI","All","SI","joule","4.184","0","1"
"SI","Energy","Calorie (Food)","C",,,"SI","calorie","1000.0","0","2"
"SI","Force","newton","N","SI","All","SI","newton","1.0","0","0"
"SI","Frequency","hertz","Hz","SI","All","SI","hertz","1.0","0","0"
"SI","Illuminance","lux","lx","SI","All","SI","lux","1.0","0","0"
"SI","Inductance","henry","H","SI","All","SI","henry","1.0","0","0"
"SI","Length","meter","m","SI","All","SI","meter","1.0","0","0"
"SI","Luminous Flux","lumen","lm","SI","All","SI","lumen","1.0","0","0"
"SI","Luminous Intensity","candela","cd","SI","All","SI","candela","1.0","0","0"
"SI","Magnetic Flux","weber","Wb","SI","All","SI","weber","1.0","0","0"
"SI","Magnetic Flux Density","tesla","T","SI","All","SI","tesla","1.0","0","0"
"SI","Mass","gram","g","SI Mass","All","SI","gram","1.0","0","0"
"SI","Mass","metric ton","mt",,,"SI","megagram","1.0","0","1"
"SI","Mass","tonne","t","SI","All","SI","megagram","1.0","0","2"
"SI","Momentum","newton-second","N⋅s","SI","All","SI","newton-second","1.0","0","0"
"SI","Power","watt","W","SI","All","SI","watt","1.0","0","0"
"SI","Pressure","pascal","Pa","SI","All","SI","pascal","1.0","0","0"
"SI","Radiation Absorbed Dose","gray","Gy","SI","All","SI","gray","1.0","0","0"
"SI","Radiation Equivalent Dose","sievert","sv","SI","All","SI","sievert","1.0","0","0"
"SI","Radioactive Decay","becquerel","Bq","SI","All","SI","becquerel","1.0","0","0"
"SI","Resistance","ohm","Ω","SI","All","SI","ohm","1.0","0","0"
"SI","Temperature","degrees celcius","°C",,,"SI","degrees celcius","1.0","0","0"
"SI","Temperature","degrees kelvin","°K",,,"SI","degrees celcius","1.0","-273.15","1"
"SI","Volume","liter","L","SI","All","SI","cubic decimeter","1.0","0","1"
"Theoretical Physics","Density","planck-density","ρₚ",,,"SI","kilogram per cubic meter","5.1550E+96","0","0"
"Theoretical Physics","Energy","planck-energy","Eₚ",,,"SI","joule","1.9561E+9","0","0"
